amfi_code,scheme_name,fund_house,return_3yr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,5.14,1.18,0.79,-0.0016224980244717857,40.0,3.0,21.0,11.0,3.0,55.25
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,0.91,1.7,1.52,-0.1527259422823477,19.0,22.5,10.5,26.5,19.0,54.25
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.96,1.13,0.92,-0.15200013055606398,24.0,15.0,22.5,14.0,18.0,54.125
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,0.98,1.34,1.6,-0.11291596329323073,22.0,12.0,18.0,36.5,9.0,53.5625
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.91,1.8,0.89,-0.1165062450540909,32.0,22.5,7.0,13.0,10.0,53.5625
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,1.33,0.89,0.55,-0.08316361763638702,39.0,6.0,29.5,1.0,6.0,52.875
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,0.87,0.95,1.38,-0.16217208574644848,10.0,29.0,26.0,17.0,20.0,52.5
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,0.92,1.82,1.54,-0.14844576917771746,25.0,21.0,6.0,30.5,16.0,52.1875
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.88,1.7,0.72,-0.18629743138595511,27.0,26.5,10.5,5.5,26.0,51.875
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.0,0.86,1.51,-0.17414075086657232,21.0,10.0,33.0,24.5,23.0,49.0625
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,0.98,0.55,1.41,-0.1982565826298267,18.0,12.0,38.0,19.0,27.0,48.625
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,0.9,1.02,1.61,-0.17248105753451382,9.0,24.5,25.0,38.0,22.0,48.1875
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,1.06,0.78,1.55,-0.24734440880673303,16.0,7.5,35.0,32.0,34.0,47.8125
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.81,1.78,0.66,-0.11803493502764295,34.0,35.5,9.0,4.0,11.0,46.0625
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,0.8,1.42,1.38,-0.20960883862039192,15.0,38.5,16.0,17.0,28.0,45.8125
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.87,1.43,0.75,-0.21751396370148224,29.0,29.0,15.0,8.0,31.0,44.375
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,0.84,0.51,1.38,-0.5167775370852656,4.0,32.0,40.0,17.0,39.0,43.375
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.8,0.9,0.78,-0.21117279560132118,14.0,38.5,28.0,10.0,29.0,42.9375
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,0.82,1.12,1.51,-0.2800112356639287,12.0,33.5,24.0,24.5,35.0,42.625
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,0.81,0.8,1.53,-0.2334488614483311,5.0,35.5,34.0,28.5,32.0,40.875
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,0.93,0.93,1.57,-0.1085986215250232,30.0,19.5,27.0,34.0,7.0,39.8125
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,0.8,0.69,1.52,-0.31171900300634214,6.0,38.5,36.0,26.5,37.0,36.75
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,0.88,0.87,1.54,-0.1501238549864533,26.0,26.5,32.0,30.5,17.0,34.75
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,0.87,1.27,1.59,-0.1757361416468729,28.0,29.0,19.0,35.0,24.0,34.75
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,0.85,1.41,1.64,-0.1440161790933726,31.0,31.0,17.0,39.5,15.0,32.8125
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,0.82,0.66,1.42,-0.13897862823061635,33.0,33.5,37.0,20.0,14.0,27.3125
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,0.8,0.54,1.6,-0.1639674294693263,23.0,38.5,39.0,36.5,21.0,22.75
